index,cid,sim,day,budget,start,end,vidCoeff,mobCoeff,reach,demand,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,completion_percentage,profit,revenue,budgetMillis,tartgetedImps,other,cost,ERR,decision
13,11133924,161,7,0.234,9,11,2.9344581203079496,1.5719905385918134,1212,,0,1,0,0,0,0,0,0,3.0286685605781845,0.3116692127150199,0.3116692127150199,234,3670.7462954207595,0.0,0.0,1.3319197124573499,
14,19586160,161,8,0.307,10,12,2.781193306364209,1.7874317612554056,2982,,0,1,0,1,0,1,0,1,2.9953559782231083,0.3488692127777905,0.40866155758089107,307,8932.151527061309,0.0,0.059792344803100556,1.3311451386999709,
15,7117838,161,6,1.058,8,12,2.2107979780196994,2.006147462612851,1836,,0,0,0,0,1,0,0,0,1.728304434549742,0.4009383270738096,1.3370944241827034,1058,3173.1669418333263,0.0,0.9361560971088938,1.2637943517794927,
16,18708982,162,0,4.835,2,4,2.6312910412440336,2.102480311770252,12986,,1,1,1,1,0,0,0,0,0.7810036111166764,-1.2206536783347546,3.2241128029209034,4835,10142.112893961159,0.0,4.444766481255658,0.6668278806454816,
17,30429822,162,0,9.077,1,5,2.348868664844569,2.2972427613502644,9077,,1,0,0,0,1,0,0,0,1.2082786704105362,8.199413775976662,10.365483553056997,9077,10967.545491316436,0.0,2.166069777080335,1.1419503749098818,
18,21424610,162,0,1.657,1,5,2.1491119137218977,1.6626102824808138,1657,,0,0,0,1,0,0,0,1,1.4883194631553216,1.8648813372646182,2.0326107207840654,1657,2466.145350448368,0.0,0.1677293835194472,1.2266811833337752,
19,6080485,162,0,7.02,1,5,2.8039136330132854,2.2208561816798174,7020,,0,0,1,1,0,0,0,0,1.502232515053753,0.4859193002932596,8.63056355457,7020,10545.672255677346,0.0,8.14464425427674,1.2294250077735043,
20,26483172,162,0,9.54,1,5,2.157046772287107,2.0448705817956303,9540,,0,0,0,0,1,0,1,0,1.1541902125419388,10.115982519140625,10.63755961512609,9540,11010.974627650095,0.0,0.5215770959854651,1.1150481776861731,
21,17831447,162,0,5.882,1,5,2.4951177350401217,1.9375954316406063,5882,,0,0,0,0,1,1,0,0,1.220848158145315,2.250546076593647,6.749656190013593,5882,7181.028866210743,0.0,4.499110113419946,1.1475104029264864,
22,3083861,162,0,9.54,1,5,2.253806423415508,2.4782390335408127,9540,,0,0,0,0,1,0,1,0,1.388680257895091,1.0231267783086064,11.485465550059986,9540,13248.009660319169,0.0,10.46233877175138,1.2039272065052398,
23,762241,162,0,5.882,1,5,2.1860860587363846,2.139630841011738,5882,,0,0,0,0,1,1,0,0,1.3381768023218443,-1.3202870791534842,6.9985911822694575,5882,7871.155951257088,0.0,8.318878261422942,1.1898318908992618,
24,24684293,162,0,3.037,1,5,2.4338625631646846,1.5554601588889074,3037,,0,1,0,1,0,0,0,0,0.8312261324764217,2.0593683596283903,2.3167597218188836,3037,2524.4337643308927,0.0,0.2573913621904933,0.7628448211455,
25,10750128,162,2,1.449,4,6,2.752240453778737,1.5280614180690786,4752,,0,0,0,0,0,0,1,0,1.3406957835210258,-1.4352442556676173,1.7251564394903625,1449,6370.986363291914,0.0,3.1604006951579797,1.1905841542376552,
26,12396592,162,1,1.316,3,7,2.120405518106333,2.16630513215173,1628,,0,0,0,1,0,0,0,0,1.221650547313358,0.2438970187425349,1.5105803033969667,1316,1988.847091026147,0.0,1.2666832846544318,1.1478573734019504,
27,23558856,162,4,2.227,6,8,2.2874531577314583,2.4738593012587264,2982,,0,1,0,1,0,1,0,1,2.0011610305700813,2.8257673841837168,2.871639865288591,2227,5967.462193159983,0.0,0.04587248110487452,1.2894655883648816,
28,2006102,162,3,4.876,5,9,2.0179691383210505,2.091094638037681,15264,,0,0,0,0,1,0,1,0,1.4730406910718987,-1.4923695680139346,5.9660688791800975,4876,22484.493108521463,0.0,7.458438447194032,1.2235580145980511,
29,11990268,162,6,1.885,8,10,2.295756973984403,2.3320026454102334,5762,,0,0,1,0,0,0,0,0,1.7651632330188276,2.3902360285653614,2.3902360285653614,1885,10170.870548654484,0.0,0.0,1.2680297233768496,
30,22971717,162,8,0.363,10,14,2.6215346914144586,2.2125214544565788,1215,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,363,0.0,0.0,0.0,0.0,
31,8128640,162,10,0.155,12,14,2.4264195615278314,1.6954822678916048,729,,0,1,0,1,0,0,0,0,2.004597657305725,0.14187592824472844,0.19990664597459532,155,1461.3516921758735,0.0,0.058030717729866885,1.2897202966102923,
32,6881533,162,11,0.167,13,15,2.796710518525699,2.1261461586750157,1440,,0,0,1,0,0,0,0,0,0.0,0.0,0.0,167,0.0,0.0,0.0,0.0,
33,13749969,162,9,0.513,11,15,2.4378431819167727,2.3232023084053592,1980,,0,0,0,0,0,0,1,0,2.0015908603183536,0.6615122275199872,0.6615122275199872,513,3963.1499034303406,0.0,0.0,1.2894975195321388,
34,15347723,162,5,4.651,7,16,2.2512657678187047,1.5266602962656664,15904,,0,1,0,1,0,1,0,1,1.914431640963104,5.9651770070354395,5.9651770070354395,4651,30447.120817877203,0.0,0.0,1.282557946040731,
35,2864980,162,13,0.593,15,17,2.3221852391949556,1.7067319770752372,6294,,1,0,1,0,0,0,0,0,0.0,0.0,0.0,593,0.0,0.0,0.0,0.0,
36,2895871,162,7,0.38,9,18,2.8174895741205894,2.138036184214588,3865,,0,0,0,0,0,1,0,1,0.9547365964582061,0.36109780599404867,0.36109780599404867,380,3690.0569453109665,0.0,0.0,0.9502573841948649,
37,14858448,162,14,1.803,16,20,2.3787701106582895,1.6374961700696535,10412,,1,1,0,0,0,0,0,0,0.0,0.0,0.0,1803,0.0,0.0,0.0,0.0,
38,22598923,162,17,0.29,19,21,2.886582733363049,2.394911851467684,1939,,0,1,0,0,0,0,0,0,0.0,0.0,0.0,290,0.0,0.0,0.0,0.0,
39,17050721,163,0,9.54,1,5,2.625209276977355,1.7414082364039292,9540,,0,0,0,0,1,0,1,0,1.6091739348334673,6.244238814139977,11.903803581416788,9540,15351.519338311278,0.0,5.6595647672768115,1.2477781531883427,
40,18608734,163,0,3.312,1,5,2.0075200073427544,2.084190460031135,3312,,0,1,0,0,0,1,0,0,1.672066787660323,-1.3721651384576932,4.162248738107189,3312,5537.88520073099,0.0,5.534413876564882,1.2567176141627987,
41,26305972,163,0,3.037,1,5,2.1491759605512404,2.0751086761551134,3037,,0,1,0,1,0,0,0,0,1.3791890488710632,3.6487392044916125,3.6487392044916125,3037,4188.597141421419,0.0,0.0,1.2014287798787002,
42,29017577,163,0,7.02,1,5,2.9459251738150427,1.5164654883771327,7020,,0,0,1,1,0,0,0,0,0.0,0.0,0.0,7020,0.0,0.0,0.0,0.0,
43,14435275,163,0,10.49,1,5,2.586324926251107,1.5734687901771163,10490,,1,0,1,0,0,0,0,0,1.7595990304434659,6.5573620890927,13.29512196195942,10490,18458.193829351956,0.0,6.737759872866721,1.2674091479465606,
44,1892413,163,0,5.882,1,5,2.110660475868479,1.9782729043053486,5882,,0,0,0,0,1,1,0,0,1.5336486183928044,-1.4473411435398278,7.265995381345081,5882,9020.921173386476,0.0,8.713336524884909,1.2352933324286095,
45,30896539,163,0,3.037,1,5,2.2655455443376917,1.6286878404164713,3037,,0,1,0,1,0,0,0,0,1.5135322044130164,-1.603860894638998,3.7403280344431367,3037,4596.597304802331,0.0,5.344188929082135,1.2315864453220733,
46,18358956,163,0,10.952,1,5,2.851283942390619,2.045857118302115,10952,,0,0,1,0,0,0,1,0,0.8292512856297075,-2.638804895782309,8.315131922435667,10952,9081.960080216557,0.0,10.953936818217976,0.759234105408662,
47,29330112,163,2,0.353,4,6,2.8693336825382647,2.1750022875780024,1188,,0,0,0,0,0,0,1,0,2.0022072419251207,0.4552087751080313,0.4552087751080313,353,2378.6222034070433,0.0,0.0,1.289543272260712,
48,19888463,163,0,8.584,2,6,2.3993661369589168,1.6700866168870072,16784,,1,0,1,0,0,0,0,0,1.2818505242698977,1.5923361941182286,10.055697575325995,8584,21514.57919934596,0.0,8.463361381207767,1.1714465954480424,
49,15950716,163,1,0.072,3,7,2.5788437461988654,1.8434709257031463,256,,0,0,0,0,0,0,0,1,1.0179801914586162,0.0732453858315954,0.0732453858315954,72,260.60292901340574,0.0,0.0,1.0172970254388252,
50,17193169,163,4,0.147,6,8,2.421054968856982,2.013250885809767,610,,0,0,0,1,0,0,0,0,1.2092848086749588,0.01610901363049455,0.16793342195544406,147,737.6637332917248,0.0,0.1518244083249495,1.1424042309894153,
51,7198249,163,5,0.536,7,9,2.1177353688842344,2.136112087508944,3529,,0,0,0,0,1,1,0,0,0.8566703130357441,-0.6469476921876858,0.4329841492078245,536,3023.189534703141,0.0,1.0799318413955104,0.8078062485220606,
52,11906778,164,0,0.063,2,4,2.3407840511382565,1.895965592584742,244,,0,0,0,1,0,0,0,0,0.0,0.0,0.0,63,0.0,0.0,0.0,0.0,
53,19446664,164,0,3.037,1,5,2.2488963329015803,1.8057367987087147,3037,,0,1,0,1,0,0,0,0,0.634726536064263,0.5575678811939218,1.1890598230699148,3037,1927.6644900271667,0.0,0.631491941875993,0.39152447252878325,
54,9204936,164,0,5.59,1,5,2.4290348713678993,2.3767734440541677,5590,,0,0,0,0,0,0,1,1,2.001415663927673,7.2082183947645015,7.2082183947645015,5590,11187.913561355692,0.0,0.0,1.2894845071135066,
55,21325109,164,0,5.882,1,5,2.513456696048607,2.3841889256240196,5882,,0,0,0,0,1,1,0,0,1.8247978694809608,3.974550563935246,7.495410812067379,5882,10733.461068287012,0.0,3.5208602481321334,1.2742962958292043,
56,10663073,164,0,3.037,1,5,2.5924684377669496,2.422568057778089,3037,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,3037,0.0,0.0,0.0,0.0,
57,27333739,164,0,3.037,1,5,2.5636597673569193,1.790227715396125,3037,,0,1,0,1,0,0,0,0,1.4646118949288234,-5.985874042523859,3.7105565734829473,3037,4448.026324898837,0.0,9.696430616006806,1.221783527653259,
58,31013032,164,0,6.507,1,5,2.8009076905277444,1.5590648917463192,6507,,1,1,0,0,0,0,0,0,1.4309476145906865,2.910478678940154,7.901478670163275,6507,9311.176128141597,0.0,4.990999991223121,1.2143043906813087,
59,7237481,164,0,7.02,1,5,2.595095151051164,1.7776860579241136,7020,,0,0,1,1,0,0,0,0,1.6147458005823399,7.37782512672965,8.765305741725953,7020,11335.515520088025,0.0,1.3874806149963026,1.2486190515279136,
60,14348367,164,0,3.037,1,5,2.1505873419649664,1.875643359056554,3037,,0,1,0,1,0,0,0,0,0.04552230763079907,0.014974024899107692,0.0277914250509002,3037,138.25124827473678,0.0,0.012817400151792507,0.009150946674646098,
61,20290915,164,2,3.132,4,8,2.34147167740714,1.7727826489071674,10952,,0,0,1,0,0,0,1,0,1.5338622473651233,3.869059083416774,3.869059083416774,3132,16798.85933314283,0.0,0.0,1.2353317635430312,
62,14518909,164,5,1.561,7,9,2.728561771503073,1.5013599114865408,2970,,0,0,0,0,0,0,1,0,2.0004498425210904,1.727232565572661,2.0127732388368322,1561,5941.336032287638,0.0,0.28554067326417126,1.2894127090562668,
63,14693516,164,6,1.035,8,10,2.6111500381498063,1.8246107340768247,2982,,0,1,0,1,0,1,0,1,0.6019825556929058,0.35360188937871534,0.35360188937871534,1035,1795.111981076245,0.0,0.0,0.3416443375639762,
64,8107119,164,8,0.052,10,12,2.6221246652460852,1.6477957781889847,310,,0,0,0,0,0,1,0,0,1.1292408152978954,0.004780907767478471,0.057239387116085325,52,350.06465274234756,0.0,0.052458479348606854,1.1007574445401025,
65,26625963,164,1,3.809,3,12,2.4080014045349656,2.0697603637340736,6075,,0,1,0,1,0,0,0,0,1.2416029084187874,-0.5987482869356278,4.403939654146832,3809,7542.737668644133,0.0,5.00268794108246,1.1561931357697117,
66,15291064,164,9,0.598,11,13,2.028609028631543,2.2167582739323586,3601,,0,0,1,0,0,0,0,0,1.000136496479424,0.598058354749926,0.598058354749926,598,3601.4915238224053,0.0,0.0,1.000097583193856,
67,12367508,164,3,2.492,5,14,2.7017218936551095,1.648376546647474,10600,,0,1,0,0,0,1,0,0,1.1713030610613042,-3.9794153068164086,2.801316000968868,2492,12415.812447249826,0.0,6.780731307785277,1.1241235958944094,
68,3448118,164,4,1.615,6,15,2.584110834615351,1.973176816200156,6184,,0,0,0,0,0,1,0,1,1.1498331095550363,-0.13223857380879633,1.7969235443868246,1615,7110.567949488344,0.0,1.929162118195621,1.1126461575150617,
69,3948077,164,11,1.222,13,15,2.1944706414922606,2.4478281424397426,1591,,0,0,0,1,0,0,0,1,1.98289973176609,1.0370205505791923,1.5740449068631122,1222,3154.793473239849,0.0,0.5370243562839199,1.2880891218192407,
70,7525706,164,12,1.633,14,18,2.4515499862901895,1.9444028098518205,8944,,0,0,0,0,0,0,1,1,0.47550008328070587,0.3240486104439469,0.3240486104439469,1633,4252.872744862633,0.0,0.0,0.19843760590566253,
71,26757900,164,7,8.278,9,18,2.706726876467385,2.4358479305495244,30528,,0,0,0,0,1,0,1,0,1.261974329999967,4.2191653349504135,9.636909902222078,8278,38525.552346239,0.0,5.417744567271664,1.1641592053904417,
72,3454631,164,13,3.635,15,19,2.798678186415912,1.8389047344463845,4487,,1,0,0,0,0,0,0,0,1.4312400775753624,4.414242975174873,4.414242975174873,3635,6421.974228080651,0.0,0.0,1.2143722077509969,
73,32746542,164,16,2.014,18,20,2.467003822269575,2.2928091057552793,4212,,0,0,1,1,0,0,0,0,2.000621810167946,2.5969029585712784,2.5969029585712784,2014,8426.619064427388,0.0,0.0,1.289425500780178,
74,12998022,164,10,2.679,12,21,2.169237403749891,2.1054993864977374,9180,,0,0,0,0,1,0,0,0,1.4498794048311525,-0.02417333800128052,3.264601990256985,2679,13309.892936349981,0.0,3.2887753282582657,1.2185897686662879,
75,26938604,164,15,1.415,17,21,2.0755061644320296,1.572226311479609,5044,,0,0,1,1,0,0,1,1,1.501864457858171,0.3244306439387692,1.7395353592038145,1415,7575.404325436615,0.0,1.4151047152650453,1.2293536107447451,
76,21657212,165,0,10.49,1,5,2.1100923680698,2.302085029271848,10490,,1,0,1,0,0,0,0,0,1.100681030736105,1.177694390706776,11.357214001288295,10490,11546.14401242174,0.0,10.179519610581519,1.0826705434974542,
77,17615696,165,0,5.59,1,5,2.5235949352158946,1.6756005853934708,5590,,0,0,0,0,0,0,1,1,1.9228724330581062,6.32241904569075,7.173498490134894,5590,10748.856900794814,0.0,0.8510794444441437,1.2832734329400526,
78,30726645,165,0,3.037,1,5,2.4039395675154633,1.8747795212495537,3037,,0,1,0,1,0,0,0,0,1.8257235150577884,2.534958239043984,3.87031739163062,3037,5544.722315230503,0.0,1.3353591525866355,1.2743883410044847,
79,1473035,165,0,10.49,1,5,2.8075839513349474,2.0885333438330775,10490,,1,0,1,0,0,0,0,0,0.0,0.0,0.0,10490,0.0,0.0,0.0,0.0,
80,13493961,165,0,1.657,1,5,2.915063833994203,2.265761480595472,1657,,0,0,0,1,0,0,0,1,1.5584278450282643,-0.2265894762665619,2.054061105990583,1657,2582.314939211834,0.0,2.280650582257145,1.2396264972785653,
81,12217897,165,0,5.882,1,5,2.490277469517003,2.0774708648621054,5882,,0,0,0,0,1,1,0,0,1.2977883233738257,1.7992031185690776,6.922945269779715,5882,7633.590918084842,0.0,5.123742151210638,1.1769713141414002,
82,11564049,165,0,10.49,1,5,2.1585817801630967,2.3215046080916393,10490,,1,0,1,0,0,0,0,0,1.1259384272936315,0.8771892489300743,11.526041200389072,10490,11811.094102310193,0.0,10.648851951458997,1.0987646520866607,
83,3786553,165,0,7.02,1,5,2.8982674306509537,1.594138267125902,7020,,0,0,1,1,0,0,0,0,0.33802237398047386,-2.0384049145546483,0.7461357069401499,7020,2372.9170653429264,0.0,2.784540621494798,0.1062871377407621,
84,29776650,165,0,0.763,2,6,2.619068065940873,1.675284905381094,3816,,0,0,0,0,1,0,1,0,0.0,0.0,0.0,763,0.0,0.0,0.0,0.0,
85,17261478,165,2,1.48,4,6,2.843375087140592,2.4272733374691704,5647,,0,0,0,0,1,1,0,0,0.8143827069561909,-0.3890251033536194,1.082695480955662,1480,4598.8191461816095,0.0,1.4717205843092813,0.7315510006457175,
86,19320606,168,0,3.312,1,5,2.1093634305676012,2.0256997632804867,3312,,0,1,0,0,0,1,0,0,1.6838157055903513,2.8319290333637777,4.16736485112005,3312,5576.797616915243,0.0,1.3354358177562724,1.2582623342753776,
87,2156869,168,0,5.59,1,5,2.6448047952299905,2.0019324358073263,5590,,0,0,0,0,0,0,1,1,1.101201871289726,0.4618826699639591,6.05407261684908,5590,6155.718460509569,0.0,5.592189946885121,1.0830183572180823,
88,12629728,168,1,1.122,3,5,2.179393944290412,1.90596486630204,3026,,0,0,1,1,0,0,1,1,1.5912878306200482,0.2724816404963908,1.3969000502427493,1122,4815.236975456266,0.0,1.1244184097463585,1.2450089574356054,
89,26488204,168,0,9.54,1,5,2.1974954413600885,1.6652290587970913,9540,,0,0,0,0,1,0,1,0,1.6283191742419145,4.092657976202072,11.930971255811507,9540,15534.164922267864,0.0,7.838313279609435,1.2506259177999484,
90,4560157,168,0,5.59,1,5,2.6827626035712733,1.6066030773493054,5590,,0,0,0,0,0,0,1,1,0.0,0.0,0.0,5590,0.0,0.0,0.0,0.0,
91,11692443,168,0,6.507,1,5,2.0936643732977815,2.4032280753592294,6507,,1,1,0,0,0,0,0,0,1.6087693824846643,5.255897167548578,8.118892590342536,6507,10468.26237182771,0.0,2.8629954227939587,1.2477167036026644,
92,17728106,168,0,9.54,1,5,2.474037680492072,2.1557917918162577,9540,,0,0,0,0,1,0,1,0,0.0,0.0,0.0,9540,0.0,0.0,0.0,0.0,
93,11188268,168,0,9.077,1,5,2.4287004191466908,2.274420661040443,9077,,1,0,0,0,1,0,0,0,1.689888859693943,-1.4233006077911199,11.428365784176483,9077,15339.121179441921,0.0,12.851666391967603,1.2590465775230233,
94,32314103,168,0,7.02,1,5,2.8390275919327803,1.9718592815001994,7020,,0,0,1,1,0,0,0,0,1.802180753627615,8.452517520649025,8.929434982470468,7020,12651.308890465858,0.0,0.47691746182144346,1.2719992852522035,
95,27390826,168,3,3.962,5,7,2.157900319533927,1.7802476702490126,4212,,0,0,1,1,0,0,0,0,2.000654607220742,5.1087134982233025,5.1087134982233025,3962,8426.757205613765,0.0,0.0,1.2894279399856896,
96,3917002,168,4,2.604,6,8,2.7182871161651105,2.376017812872605,2754,,0,0,0,0,1,0,0,0,0.4274354305838533,0.41802264073500056,0.41802264073500056,2604,1177.157175827932,0.0,0.0,0.16053096802419375,
97,17141342,168,2,0.651,4,8,2.7080368855881694,1.6531907882595407,1215,,0,1,0,1,0,0,0,0,0.43705499772713363,-0.5420693870215436,0.109074291321505,651,531.0218222384674,0.0,0.6511436783430486,0.16754883459524575,
98,10099740,168,5,0.411,7,9,2.0642473374745816,2.0547043514701637,3026,,0,0,1,1,0,0,1,1,2.001868216092774,0.5134993699434917,0.529991944224046,411,6057.653221896733,0.0,0.01649257428055435,1.2895181124672654,
99,17948980,169,0,2.283,2,4,2.568574458375143,1.9941378383490678,5762,,0,0,1,0,0,0,0,0,0.41191172853363295,-4.226999408496038,0.34187486140309187,2283,2373.435379810793,0.0,4.56887426989913,0.14974807770612872,
100,1037041,169,0,3.037,1,5,2.9675749392756674,2.3196387786515302,3037,,0,1,0,1,0,0,0,0,0.4003775868066194,-2.5916351839404244,0.43169519766356246,3037,1215.946731131703,0.0,3.0233303816039867,0.14214527417305317,
101,15056221,169,0,10.952,1,5,2.796230923703508,1.8105709380413313,10952,,0,0,1,0,0,0,1,0,1.809868216709992,8.051022932583173,13.939601757681388,10952,19821.67670940783,0.0,5.8885788250982145,1.272790518415028,
102,3258191,169,0,5.882,1,5,2.207572824463572,1.9234929263269755,5882,,0,0,0,0,1,1,0,0,2.000646684075321,2.131873237946066,7.584411677001324,5882,11767.803795731039,0.0,5.452538439055258,1.289427350731269,
103,23381094,169,1,1.443,3,5,2.011998939491346,1.5988719826416549,2754,,0,0,0,0,1,0,0,0,1.4239776976919114,0.05908856231362192,1.7498867018381687,1443,3921.6345794435238,0.0,1.6907981395245468,1.212672697046548,
104,8129192,169,0,10.952,1,5,2.0531938477762504,2.2669161744543675,10952,,0,0,1,0,0,0,1,0,0.0,0.0,0.0,10952,0.0,0.0,0.0,0.0,
105,7449307,169,0,7.02,1,5,2.218235801534003,2.3136541107953223,7020,,0,0,1,1,0,0,0,0,1.6220100253987924,7.622501229331022,8.772896320330435,7020,11386.510378299523,0.0,1.1503950909994127,1.2497003305314012,
106,8783072,169,0,6.507,1,5,2.419935398333073,1.7554662451645697,6507,,1,1,0,0,0,0,0,0,1.650814101988298,-0.2482250843456022,8.158655010823646,6507,10741.847361637856,0.0,8.406880095169248,1.2538274182916316,
107,31876724,169,0,10.952,1,5,2.8105614378891577,1.9286663636471917,10952,,0,0,1,0,0,0,1,0,1.1588214137300499,5.199104502027218,12.23951558635439,10952,12691.412123171505,0.0,7.040411084327172,1.117559859966617,
108,23024623,169,0,7.02,1,5,2.5589932389607855,1.7823881521589064,7020,,0,0,1,1,0,0,0,0,1.2720159409473735,-0.7535378101700303,8.19864450172026,7020,8929.551905450562,0.0,8.95218231189029,1.1678980771681282,
109,2874096,169,3,0.644,5,7,2.6248600920824123,2.075315553526807,2178,,1,0,0,0,1,0,0,0,2.0025433526120286,0.1835072495753053,0.8304819225482231,644,4361.539421988999,0.0,0.6469746729729178,1.289568202714632,
110,19130260,169,4,0.859,6,8,2.875442387819007,1.580919950724918,1939,,0,1,0,0,0,0,0,0,1.6544010422194875,1.077464435707498,1.077464435707498,859,3207.883620863586,0.0,0.0,1.254324139356808,
111,30493102,169,5,0.719,7,9,2.2765091963049073,2.2153722085100207,2754,,0,0,0,0,1,0,0,0,1.2672814046512053,0.11714359115244966,0.8384619233905087,719,3490.0929884094194,0.0,0.7213183322380591,1.1661501020730303,
112,30107772,169,6,2.749,8,12,2.841302592807714,1.8886693450158438,11472,,0,0,0,0,1,1,1,1,1.8323605744657652,2.3406088764555,3.5050957290161278,2749,21020.840510271257,0.0,1.1644868525606276,1.2750439174303847,
113,11596801,169,2,1.758,4,13,2.462012187163181,1.9852750627204836,4706,,0,0,0,0,1,1,0,0,1.9490283486762117,2.2128366046783827,2.2597840594652427,1758,9172.127408870252,0.0,0.04694745478686004,1.285428930298773,
114,28314069,169,9,20.695,11,15,2.9170766727765,2.448802789552117,32048,,1,0,1,0,1,0,1,0,1.6734120817027696,19.377752280134363,26.011470208824445,20695,53629.51039441036,0.0,6.633717928690082,1.256896361866366,
115,18102586,169,10,1.975,12,16,2.8353387152517593,2.0981823419615098,7952,,0,1,0,1,0,1,0,1,1.266903331050759,-3.9916641326382787,2.302868530961572,1975,10074.415288515635,0.0,6.294532663599851,1.166009382765353,
116,6899042,169,11,0.137,13,17,2.679028530101226,2.0955245267180014,663,,0,0,0,1,0,0,0,1,2.0090311429763883,0.17673642546202506,0.17673642546202506,137,1331.9876477933456,0.0,0.0,1.2900469011826645,
117,4187327,169,7,2.781,9,18,2.6917034726278786,2.0059378074486003,6464,,0,1,0,0,0,0,0,0,1.1075464103324466,3.023502472774399,3.023502472774399,2781,7159.179996388935,0.0,0.0,1.087199738502121,
118,21587626,169,12,0.886,14,18,2.035894890884637,1.7413921667413739,1292,,0,0,0,0,0,1,0,0,1.5923546948436407,0.32861137776655824,1.1032269924066165,886,2057.322265737984,0.0,0.7746156146400582,1.2451771923325243,
119,6420125,169,8,3.144,10,19,2.29443791539324,1.7234064321578617,3960,,0,0,0,0,0,0,1,0,1.5806591986060519,0.19768196959301765,3.908970013554865,3144,6259.410426479965,0.0,3.711288043961847,1.2433110730136339,
120,20587448,169,15,2.504,17,21,2.491403468010156,1.8224123781616866,10490,,1,0,1,0,0,0,0,0,1.7296056473231611,3.164928315113982,3.164928315113982,2504,18143.56324041996,0.0,0.0,1.2639490076333795,
121,16140977,169,16,0.37,18,22,2.425862605299539,2.053139911977824,3312,,0,1,0,0,0,1,0,0,1.8299917769772276,0.47168000433587803,0.47168000433587803,370,6060.932765348578,0.0,0.0,1.2748108225294001,
122,25200345,169,17,0.745,19,23,2.537550442930088,2.1671871774109137,4381,,0,0,1,0,0,0,1,0,2.000841741791698,-0.11105468766574245,0.9606341822161991,745,8765.68767078943,0.0,1.0716888698819416,1.2894418553237572,
123,16236104,169,19,3.467,21,23,2.738221241069981,2.161430506293553,4308,,1,0,0,0,0,0,0,0,1.6997965489913704,2.612554921346045,4.369479904874291,3467,7322.723533054824,0.0,1.756924983528246,1.2603057123952384,
124,2141957,169,20,0.898,22,24,2.702658183413464,2.2999990982103204,4406,,0,0,0,0,1,0,0,0,1.4857584634676098,-0.2603710258387779,1.10109695453609,898,6546.251790038288,0.0,1.361467980374868,1.226165873648207,
