index,game_number,day,active_networks,last_day_networks,OML,OMH,OFL,OFH,YML,YMH,YFL,YFH,l1_price,l2_price,l3_price,l4_price,l5_price,l6_price,l7_price
27,162,7,3,1,0,2,1,2,1,2,1,2,0.2651168485694223,0.2472734871932151,0.1975846062638753,0.18611159786954665,0.18472379077721796,0.13817924419810515,0.1155797341714402
28,162,8,3,1,0,1,1,1,1,2,1,2,0.22342398990322684,0.18265378840929614,0.17214524937503778,0.15823894507469843,0.15620088197001952,0.14745204359912595,0.12852722392452096
29,162,9,2,1,0,2,1,2,0,2,0,2,0.24017678799499323,0.1913749030560814,0.17936249007543098,0.17589286371060864,0.1340208879360742,0.11419176600158865,0.11085784245689581
30,162,10,2,0,0,2,0,2,0,2,1,2,0.23237814199584889,0.18909908629890537,0.18607328715273735,0.17161528060218817,0.15322157582524315,0.15187064528511934,0.14565409678154612
31,162,11,3,0,0,3,0,3,0,2,1,2,0.2470957513798474,0.18372288072897874,0.1745118343283232,0.1655504384647596,0.1570912961642238,0.1459324835329709,0.12600861784253142
32,162,12,3,0,0,3,1,3,0,2,1,2,0.24757352406616387,0.1895289505970683,0.17876618033796698,0.17031935054943076,0.16475277371938918,0.1583884486081523,0.14061926274662156
33,162,13,3,2,0,3,2,3,0,2,1,2,0.24306910115755964,0.1788458237081549,0.17828167423322083,0.1626334550951574,0.13746464729467517,0.13568219133076392,0.1302643526571173
34,162,14,2,2,1,1,3,1,0,2,1,2,0.23666279090003214,0.18879062007113473,0.1819991416648162,0.1743894359307328,0.1608307438868271,0.12953449664063557,0.12061323136618372
35,162,15,2,1,2,2,2,1,0,2,0,2,0.23057862090084247,0.18777767903465542,0.1797140585497926,0.17318215986739222,0.1484295193377158,0.139918200859823,0.13576989651068228
36,162,16,3,1,2,1,2,0,1,1,1,1,0.22602328895269372,0.17409859758266266,0.1727945865869068,0.1602244079182244,0.15312082891819867,0.15158077234235007,0.1430493025728984
37,162,17,4,1,1,1,1,0,1,1,2,1,0.23845347306405257,0.19924888336763838,0.19819098198967833,0.17801021883866225,0.1689831307570996,0.16536464883099355,0.1264808568341394
38,162,18,4,0,1,2,1,0,1,0,2,0,0.17805677886236035,0.17361930278565718,0.15308690015616205,0.1478377857636241,0.10885987789834382,0.10702563868876187,0.10696275399639954
39,162,19,4,1,1,2,1,0,1,0,3,1,0.16411488659126508,0.1636936726490574,0.15453190736674327,0.15031234480288408,0.12341506376325562,0.1020447978343926,0.10162315412210386
40,162,20,5,1,0,2,1,1,1,1,3,2,0.18461247186972485,0.17701112201990601,0.16408750442230627,0.1549362924532287,0.15358179350192885,0.149767059816663,0.11050825908471135
41,162,21,5,0,0,1,1,1,1,1,4,2,0.18302489976064154,0.17038318363161706,0.1686149837421692,0.14247539269183968,0.1252951324909937,0.11261054238767756,0.10628834497904008
42,162,22,5,1,0,2,1,1,1,2,4,2,0.18885631437345152,0.17159971674336744,0.16429955594849555,0.16319766568128258,0.15444491048943756,0.15176644895435354,0.14591860112610944
43,162,23,6,0,0,2,1,1,1,2,4,2,0.18833308606297058,0.1868632248500532,0.1858354043963223,0.15903741293558352,0.1354990307642291,0.1143172293189115,0.10921654671010889
44,163,0,8,0,1,3,3,3,2,2,2,0,0.202,0.15008622800251614,0.13518246840231007,0.1313817295300625,0.12908445502798954,0.12636844521401247,0.11092008012679305
45,163,1,8,0,2,3,4,3,2,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,163,2,8,0,2,3,4,3,2,2,2,1,0.1808906192982126,0.17178596025252207,0.16437486432240206,0.1426533731016378,0.1344352314628373,0.1099641290573095,0.10738142927267404
47,163,3,8,0,2,3,4,3,2,2,3,1,0.1850485049367504,0.17969348283840592,0.17131385217127398,0.1266147705382503,0.11618144260481801,0.10265044530585753,0.10000581014860654
48,163,4,8,8,2,4,4,4,2,3,3,2,0.19112136194828727,0.19034362203695382,0.1814051851124541,0.1785630129396274,0.16038710958970548,0.1450092605446816,0.11584696024513727
49,163,5,3,2,1,1,1,2,0,1,1,2,0.16614856500043923,0.15520125735139553,0.12233172496658776,0.11961240156707059,0.11932429376294895,0.11227677469443403,0.10760109183527555
50,163,6,3,1,0,1,0,2,1,2,0,2,0.1839370802915148,0.1714724861404583,0.15879225354846244,0.150178721401807,0.14626615962379835,0.12320933368065774,0.10892659484398033
51,163,7,4,1,0,2,0,3,1,2,0,1,0.19887061644330511,0.18847482180492986,0.18142878206187535,0.17088910554785985,0.147523890663054,0.12246064546572662,0.11576430788701565
52,163,8,4,1,0,2,1,2,1,2,1,1,0.1748520421064339,0.1274332085956363,0.12731519384026682,0.1230312011715972,0.11274693059059274,0.111661295974639,0.1037376211474984
53,163,9,4,0,0,2,2,3,0,1,1,1,0.1983087825462066,0.18136909919340644,0.15663734574294785,0.15656159090099803,0.12928613520245688,0.11653515174931099,0.11146647900278127
54,163,10,4,1,0,2,2,3,1,1,1,1,0.198599894797489,0.17798546265006235,0.17289260640688145,0.15229958736943427,0.12411128372988225,0.12069943546744882,0.11181129184394206
55,164,0,8,0,1,5,1,5,1,1,1,1,0.202,0.19826002344013238,0.19024322901088214,0.18306020625621133,0.15718009272853578,0.13285520624986302,0.1287657810202703
56,164,1,8,0,1,5,1,6,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,164,2,8,0,1,6,1,7,1,1,1,1,0.19276681153742364,0.18169092089267475,0.17796920400933522,0.1712109258627031,0.1390726643167598,0.11529730813386238,0.10413291046089007
58,164,3,8,1,1,6,2,7,1,1,2,1,0.19340166773390777,0.19239348081991012,0.19026488982233475,0.15623947888589373,0.1413672078993179,0.13539357458463505,0.13014629544163017
59,164,4,8,8,1,7,2,6,1,2,2,1,0.19193869166494343,0.1889568034851299,0.1790586989306588,0.1683201662807226,0.14817749662030621,0.13515775036496214,0.11044240778272868
60,164,5,4,0,0,2,1,1,0,2,1,1,0.17932170816075166,0.161885353122024,0.15205599025308897,0.14924421225084522,0.14159520269204728,0.1395739684838196,0.1336057109404483
61,164,6,4,0,0,2,1,1,0,2,2,1,0.1923098797195899,0.1873108595656277,0.1650500543773771,0.1537062333087949,0.1517871105859296,0.13999036679704752,0.13513002011163483
62,164,7,5,1,0,3,1,2,0,3,2,2,0.17756886884975198,0.15882472388761473,0.15604922191980056,0.12253999830226492,0.10866897942626268,0.10658256127009826,0.10436080590428931
63,164,8,4,1,0,3,0,2,1,3,2,2,0.18869724711332939,0.18517943748064064,0.18315467637288524,0.17572050954622695,0.15702940397204296,0.13324027875807548,0.12143698858895603
64,164,9,5,1,0,3,0,2,1,4,1,2,0.19252415254055946,0.19212001639650078,0.1619893791824121,0.1610474954314529,0.11750702166091065,0.1163369477181356,0.10811063385489678
65,164,10,6,0,0,2,1,1,1,3,1,1,0.18644695010948473,0.18162624838451746,0.17609262102189388,0.17397296386413308,0.16552252207167362,0.145548661840801,0.1021468754706196
66,164,11,6,2,0,2,1,1,2,3,1,1,0.1728783933303025,0.1316070431138901,0.1306865119644632,0.117053133030613,0.11545743013594202,0.11482577005879385,0.10002497276358183
67,164,12,5,1,0,1,1,1,2,2,1,2,0.19566832156606656,0.19538538425477592,0.1851528623089815,0.17813923867408105,0.1462047560527741,0.13642932057574816,0.11164382817013219
68,164,13,6,1,0,1,0,1,2,2,2,3,0.19985625407295288,0.15422288813751223,0.15304142444488586,0.13664946535514966,0.13393674125575694,0.11337242111122842,0.11335611999885936
69,164,14,5,2,1,0,0,1,2,1,2,3,0.1745401719264494,0.17254323803363156,0.1469248035446622,0.13500834955653407,0.11420052108909003,0.10533603941364951,0.1013452022718905
70,164,15,3,0,2,0,1,0,2,0,2,1,0.17653299308782133,0.1738201550794221,0.12112749676331029,0.1196091197898046,0.10753960497448939,0.10641754587061089,0.10239981581280527
71,164,16,3,0,2,0,2,1,2,0,3,2,0.17851368003291024,0.17659664233246297,0.16504140154159286,0.16111335861486414,0.12376490666955885,0.11566787941858919,0.10874623342770605
72,164,17,4,2,2,0,3,2,2,0,3,2,0.196144963321024,0.1840963771982667,0.17170651633058176,0.1629747175035159,0.14055424529238966,0.1158709490475524,0.11416535330058908
73,164,18,5,1,2,0,3,2,2,0,1,1,0.1951862015145156,0.19077665876264735,0.18046806105247198,0.14098394617122187,0.13810585528292735,0.11939757900392867,0.11438262442943577
74,164,19,5,1,2,0,3,2,3,0,1,1,0.19652782455369255,0.19465518050244096,0.17504102951400669,0.16166009386003885,0.1532064342486744,0.14603922370464006,0.14568709509705388
75,164,20,4,1,2,0,2,1,3,1,1,1,0.18698708733797015,0.16876197376849542,0.15206302556494294,0.14884263360312172,0.14307966606443226,0.13219933336245043,0.1201955985536216
76,164,21,4,1,2,0,1,1,2,1,0,0,0.1930063248937471,0.18003565170772995,0.1598077496368856,0.14520484808271425,0.11706531827575706,0.11384565243712935,0.10459291724964151
77,164,22,4,2,1,0,1,1,1,1,1,0,0.18562012084580848,0.16699180579933343,0.15796714797934486,0.15094351618326396,0.13180490648289933,0.12373013596223427,0.10024936324785477
78,165,0,8,0,3,1,4,3,1,1,1,2,0.202,0.1861525630069612,0.1799932643431762,0.16406829028767778,0.147838209276552,0.12197854573236655,0.11133931772502427
79,165,1,8,0,3,1,4,3,2,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,165,2,8,0,3,1,4,3,2,1,2,3,0.19802349723954943,0.18842000951960075,0.17201518486684575,0.15922831445283842,0.15209785026581918,0.14401999269495885,0.11550013026642961
81,165,3,8,0,3,1,4,3,3,2,2,3,0.17849307931359776,0.1741005036623826,0.158918082659725,0.1534741167062203,0.14906332857187035,0.13950194037877317,0.10625176998752844
82,165,4,8,8,4,1,4,3,4,2,2,3,0.19415229865181827,0.16751808869712567,0.15474772183039137,0.14181093959534635,0.1335544917374784,0.12748536441296335,0.1242898587804581
83,165,5,5,2,1,0,0,0,3,1,1,2,0.1904902050122841,0.18390648103765084,0.17421419551792544,0.16802842544247726,0.15091815111088797,0.137003802667929,0.12911574411797994
84,165,6,3,0,2,1,0,0,1,0,0,2,0.19269553249616828,0.18521569467444632,0.1761205927273627,0.17086448434303758,0.16131541787527376,0.14924640988552942,0.13180295378481016
85,165,7,4,0,2,1,0,0,1,0,1,3,0.19974762020502806,0.17631024971124903,0.15303075953436845,0.1488244450998332,0.13925993382248109,0.13320658730410057,0.12245627507449498
86,166,0,8,0,3,1,3,2,3,2,1,1,0.18951383813678319,0.18711189556154578,0.16226993964736547,0.12041665047623037,0.1131811192429335,0.11317305330883029,0.1057178453446828
87,166,1,8,0,3,1,3,2,3,3,1,1,0.19580632906315787,0.1592710495004166,0.1574158895933726,0.1573475999136518,0.150079754011594,0.11134770298664294,0.10866612549646545
88,166,2,8,0,3,1,3,3,3,3,1,2,0.1942628582187728,0.17899770013226615,0.15131423062718524,0.14367912634532143,0.13367101566582376,0.13139898159500246,0.12923561690522198
89,166,3,8,0,3,1,3,3,3,3,2,2,0.1998697488677939,0.17721485705639028,0.16995179880376202,0.16850185886684374,0.16394037517722182,0.12706589907350857,0.12472567780487319
90,166,4,8,8,3,2,3,3,3,3,2,2,0.19220136567215879,0.17478993114109653,0.16500254240365617,0.14071349152961338,0.13591942324263317,0.133703980833428,0.11593400035755436
91,166,5,3,1,0,1,0,2,0,1,1,2,0.19960310319114322,0.1995734076317306,0.1976409729088133,0.12334575284287835,0.12059286547649048,0.11767940888291414,0.11522071753500433
92,167,0,8,0,1,2,3,4,2,2,1,1,0.19049657919531926,0.1839302672628007,0.1490994673064211,0.13960499234421048,0.13331490286440212,0.12041987983256582,0.1101970231685472
93,167,1,8,0,1,2,4,5,2,2,2,2,0.18637098676276892,0.18410209809766037,0.16635751744035193,0.14356364679789674,0.14139033073579524,0.10715097340926355,0.10284714463693212
94,167,2,8,0,2,2,4,5,2,2,2,2,0.15178672533037857,0.14804364991365504,0.14128686091434212,0.13888239773884425,0.13803182985700813,0.13272103141614636,0.12121359868384506
95,167,3,8,0,2,2,5,5,2,2,2,2,0.18406892436890737,0.1739420259279763,0.16181019059875068,0.13871514259458786,0.12370976810011186,0.10809861932485614,0.10056482445024822
96,167,4,8,8,2,2,5,5,2,3,2,3,0.1836524116289866,0.1769328306542595,0.16340872158545028,0.12401422977714216,0.11106389307435434,0.10871437963328193,0.10324069426473723
97,167,5,4,0,1,0,3,2,0,1,1,2,0.18463246242699724,0.1817696735749867,0.16354025454134308,0.15318946813628426,0.13994669442534408,0.13363209176926544,0.10563634422151982
98,168,0,8,0,2,2,1,1,3,1,4,2,0.17850181046831215,0.14246606055219058,0.13574767616797156,0.1296594654960512,0.10596826669765537,0.10227989130656041,0.10129338264822234
99,168,1,8,0,2,3,1,2,3,1,4,2,0.19783203756220247,0.17419097547282042,0.1479618297818812,0.14578149731503368,0.13434016453805048,0.13284641733024155,0.1247310428627467
100,168,2,8,0,2,3,2,3,3,1,5,3,0.19533063881614549,0.18505856074199167,0.18452695117882764,0.143523778322864,0.13614865230637918,0.12379879669025803,0.10039598392903819
101,168,3,8,0,2,4,2,4,3,1,5,3,0.17467062653591187,0.15282154363881462,0.15060932518508252,0.13924375655999738,0.13764028938802678,0.1346288877706266,0.10190066632342709
102,168,4,8,8,2,4,3,5,3,1,5,3,0.18287296348935903,0.17322398875126965,0.16550645847360612,0.16112059014802105,0.1384203165762492,0.12916089284516621,0.1217406444041867
103,168,5,3,0,0,2,1,3,1,0,0,0,0.19931569496496143,0.18388834626480943,0.13112693418408147,0.13078562590431694,0.12147551255963011,0.10485770390407959,0.10304413398485152
104,168,6,3,1,0,2,2,4,1,0,1,1,0.18604577238869502,0.1799017656838034,0.1754270558213759,0.150179554992514,0.1294292435884747,0.11967148076190764,0.11962877888191194
105,168,7,3,2,0,2,1,3,2,1,2,2,0.19778036415499461,0.1874661284794136,0.18334616392630118,0.1516120908935536,0.1471134257380723,0.12682155207097884,0.10141594462180277
106,168,8,3,1,0,1,1,2,1,1,2,3,0.17852562627769492,0.17323969903702935,0.17028184437885002,0.12382265475050597,0.12352497158787756,0.11950496974529798,0.10011634326109371
107,168,9,3,0,0,2,0,2,1,1,1,2,0.18231471784379638,0.17184687830130596,0.12980845323220225,0.11657361165948593,0.11048612531272527,0.10779411888850579,0.10057910351937988
108,168,10,4,2,0,2,0,3,1,1,1,3,0.19524269082516815,0.18059009346455474,0.1571940934928412,0.13522616519974945,0.1251138669104266,0.1247015766127942,0.10017132449560022
109,169,0,8,0,1,2,5,3,1,1,3,0,0.18847514126272502,0.1687930087039154,0.15651914693079702,0.14863593697927371,0.14274196353350788,0.1371151567083191,0.13416813306715514
110,169,1,8,0,1,2,6,3,1,1,3,0,0.19473998484753008,0.1923062525127966,0.16331044954550322,0.16076007279706855,0.1384628942125411,0.11752794346178635,0.10167686737720939
111,169,2,8,0,1,2,6,3,2,1,3,0,0.19513235639642318,0.19070036757085695,0.18437576389873556,0.12637240239348993,0.11856597901515271,0.11718624296406517,0.10974910484310635
112,169,3,8,1,1,2,6,3,3,2,3,0,0.17731486902070392,0.16732283837008755,0.14494632644612487,0.130276665837125,0.1282337645080861,0.1270041329594489,0.10278363324857787
113,169,4,8,8,2,2,5,3,4,2,3,0,0.18187067506007304,0.17871490859708478,0.17561102936335043,0.17128714481234425,0.1609442416555955,0.16002856253200254,0.12396938510659297
114,169,5,3,0,1,1,0,0,2,1,0,0,0.19213339404798463,0.18679865871429846,0.18260977391636204,0.14020125318957663,0.13450988857838897,0.1296309368746059,0.10925845353968489
115,169,6,4,1,1,1,0,0,3,1,0,0,0.1991603957886988,0.17937413404257962,0.17715389500833534,0.14541713411926094,0.14270826679603377,0.14269722151904274,0.13966426971143298
116,169,7,4,1,0,1,0,0,3,2,1,1,0.16694393456730647,0.15413359445680888,0.1535114045104401,0.13411277675030076,0.11245387961045827,0.10479692770219888,0.10477081331446908
117,169,8,4,1,0,1,0,0,3,2,1,1,0.18726266745801035,0.16878017286268224,0.16498325274105496,0.15143043515563465,0.1512950334623621,0.13300880469923032,0.121293371579115
118,169,9,4,0,0,1,0,0,2,2,2,1,0.19952543236529474,0.19279190914085625,0.15776113032429367,0.15243985422339879,0.12420887626551891,0.1239721964622,0.11329605646560788
119,169,10,5,0,1,1,1,0,3,2,3,1,0.18805196313889821,0.1863139137685251,0.16824674334976084,0.13988847404002797,0.1378985428108162,0.13480170698570954,0.1049491473803347
120,169,11,5,1,1,2,1,1,3,3,3,2,0.1913631615382936,0.1881102074039988,0.13530255868916452,0.13479965209927214,0.12254309565883476,0.11518505520031466,0.11367745872832304
121,169,12,5,1,1,2,1,2,2,2,2,2,0.18454748316980307,0.15970537939902313,0.13917722798844737,0.11510663555162572,0.11427222525569829,0.11185334341384946,0.10699535022950843
122,169,13,4,0,1,2,1,2,1,2,2,2,0.18531802887162796,0.1805683433523268,0.17842722728673432,0.17402248296090872,0.17206115948873274,0.16086894409650676,0.1411792757719595
123,169,14,5,1,1,2,1,3,1,2,2,2,0.19037840683331642,0.17823644605513622,0.17240964272795045,0.16834327624268125,0.1642635653404539,0.1403530715891833,0.11004249674920721
124,169,15,5,1,0,2,0,3,0,2,2,2,0.18887943227639298,0.16814454400972023,0.16630541094584678,0.1502675204347501,0.1476537355269948,0.13321856708762425,0.13035866331377857
125,169,16,5,1,1,1,1,2,0,1,2,1,0.19721667003644464,0.17198389172908618,0.15743306185557915,0.1382176011985734,0.12494141289929968,0.118305075706044,0.10822331398146287
126,169,17,4,1,1,2,1,1,0,2,2,0,0.1983431978111241,0.19114794337086183,0.16185992682169925,0.1369431054189364,0.13283728822030733,0.1171337043600066,0.10102600352472496
127,169,18,4,1,1,1,2,1,0,1,3,0,0.1824564854736806,0.17940989256205064,0.15032222975579473,0.12989111449725635,0.12188172822116349,0.12007844120565757,0.11704155528570628
128,169,19,5,0,1,1,2,1,0,1,3,0,0.19948595460105423,0.18997361398152796,0.15349076841919584,0.1299130291048783,0.12864914356574275,0.11723844951380624,0.10187928912200958
129,169,20,5,1,2,1,2,1,0,1,3,0,0.18146462271204894,0.15379642707327007,0.14536189887353346,0.1358744220357121,0.11553885240530055,0.11293311916762126,0.10259577396001937
130,169,21,5,1,1,1,1,1,1,1,3,0,0.1513009837851434,0.14828404166325831,0.1439569612682443,0.14054327268506872,0.13863682789498055,0.11971617015347187,0.11199218997236231
131,169,22,5,2,1,0,2,2,1,0,3,0,0.19807523815402758,0.1875531097924355,0.1852048122345629,0.1707197697178084,0.15641477067932716,0.1563191462438019,0.1481827732883541
132,169,23,5,2,1,1,1,2,2,1,2,0,0.1912151142674401,0.17902892827995917,0.16931149871232223,0.13298632471305993,0.13285707441169026,0.12971984548910975,0.10996682824170187
133,169,24,4,1,1,2,1,2,1,1,2,0,0.18654938480530692,0.17096543821347135,0.16742601398112933,0.12957791369275137,0.12180543920353983,0.11911896612917292,0.11819909480634365
134,169,25,4,1,1,2,1,2,1,2,1,0,0.1950461143038269,0.16911452838419933,0.16424109871513737,0.15602962160737888,0.13583593750778697,0.13375283639036467,0.12519768863197786
135,169,26,4,2,0,2,1,2,0,1,1,0,0.18992416294288852,0.17857090830369238,0.15505344094002071,0.15228904025163964,0.1394192493734831,0.1212440402300707,0.10212432056836782
136,169,27,3,0,0,1,0,1,0,1,1,0,0.19830222439914558,0.19532876225424728,0.13873178285325388,0.12067087605771737,0.11668423698969323,0.10880027285169619,0.10034635837851573
137,169,28,4,1,0,1,0,1,1,2,2,1,0.19567601316557676,0.17357864562220116,0.14508413804815237,0.13904478661705394,0.13572677168980724,0.11586084949237327,0.10367393891981865
138,169,29,5,1,0,1,1,2,1,2,2,2,0.193040846367947,0.1857063525858672,0.14969009763909824,0.1407575178890506,0.12796686600759413,0.12256572874371889,0.1040048037961327
139,169,30,5,0,0,2,1,3,1,1,2,2,0.18931014550340053,0.1621215339599147,0.16190234609700016,0.16040760655399477,0.11478594940584126,0.10787256160194159,0.10761341820666948
140,169,31,5,1,0,2,1,3,2,2,2,2,0.19160048545494263,0.18640060062942415,0.16349526376771267,0.15621005330835308,0.137084298808841,0.13142932746421457,0.12589148058565855
141,169,32,5,1,0,3,1,2,2,3,2,2,0.19910400564730862,0.196230150874998,0.17049225920888222,0.1663902754859827,0.15394426200331598,0.12698511828096998,0.10724731051156135
142,169,33,5,2,0,2,2,2,2,3,3,3,0.1873898164691103,0.16961209737247113,0.14540246296067239,0.13738139819586676,0.1318468399798225,0.106805653063819,0.10611692726467814
143,169,34,3,1,0,3,1,2,1,3,2,3,0.18502879889480037,0.1705547757144832,0.14249566121561794,0.11295902120622896,0.10310180283810337,0.101500726133115,0.10114875403825706
144,169,35,4,1,0,2,1,2,2,3,2,3,0.1715782685633641,0.1626578264949804,0.16176299876380779,0.1557075801925763,0.14929065104922673,0.14679420890593697,0.12214429341810094
145,169,36,5,0,0,1,1,2,2,4,2,3,0.19459188086375734,0.17494660079065305,0.16599253247161588,0.1642828014027986,0.15740857826414364,0.141863547431817,0.10397804904219028
146,169,37,5,1,0,1,2,3,2,4,3,4,0.19800466549859408,0.19319131722581379,0.1670104421890672,0.14267707891241427,0.12535583340754367,0.12055939640776146,0.11944340267165232
147,169,38,5,1,0,1,2,3,2,3,3,3,0.19244292030416119,0.18183880539171138,0.17976756411750888,0.17839044564868156,0.1543375852873607,0.12509605328594264,0.11316852730881885
148,169,39,4,1,0,0,2,2,3,3,4,3,0.18428398356494152,0.1726095979387962,0.15006075830835192,0.1447042730942778,0.12034077459162887,0.11401562910302036,0.10500915514123592
149,169,40,5,0,1,1,1,1,3,3,3,2,0.1920958875623911,0.17801807982622772,0.1674360155237911,0.1660353752300075,0.15620703894762172,0.11059585357218991,0.10272598270076436
150,169,41,5,0,2,1,2,1,3,3,3,2,0.1817704304870641,0.16836064136718482,0.16547199574405969,0.14347684262030902,0.13660747870513812,0.11241314807142039,0.10824768157790521
151,169,42,5,3,2,1,2,1,3,4,3,3,0.19608294426772002,0.1889492884057513,0.1777432426447086,0.17037161916004162,0.15293548667605183,0.14747208569747527,0.1319913284642536
152,169,43,4,1,1,0,2,0,2,4,1,2,0.1824292863516896,0.1797724251615435,0.16720530923064886,0.1594201185902049,0.1284170262831721,0.11381293940057381,0.10837441134567721
153,169,44,5,2,1,1,1,0,3,5,1,2,0.19344248348431875,0.18714792443111242,0.18117393887397598,0.16214435179248127,0.15203310043798407,0.14735492618734825,0.13332799657397376
154,169,45,4,1,2,1,1,0,2,3,1,1,0.17858033725988165,0.17144328973018091,0.15294599127620656,0.15076947531382234,0.1296974443500666,0.10992858879936612,0.10631861786480445
155,169,46,4,0,2,1,1,0,2,2,2,1,0.19623537106068273,0.1909451240622697,0.18429800695891807,0.1824698263217615,0.15486588600127327,0.11964864730530195,0.10699161732157743
156,169,47,4,2,2,1,1,0,3,2,3,1,0.1975984534129508,0.19214563773939974,0.18004705307300395,0.16323500927226298,0.14401902162516414,0.12631325499570595,0.1082688848054812
157,169,48,3,3,1,2,0,1,3,3,3,2,0.189145497925871,0.17427613153025123,0.15887725298991717,0.13640647349303442,0.12931883319440313,0.1064830043049178,0.1040091138152461
158,169,49,3,0,0,2,0,1,1,1,1,1,0.18531731022736386,0.1845853126338645,0.15765786652134758,0.15196033397263434,0.125789279022244,0.11626371916474589,0.10952273503527028
159,169,50,3,0,0,2,0,2,1,1,1,2,0.19381073500040474,0.18800314563584158,0.1867857015071142,0.17877738323891557,0.1609057233726277,0.1467753745792602,0.10122791918787127
